"","user_id","month","postcovid","trumpid","hoaxid","climateid","tweets","meandist","maxdist","state"
"197",8322232,"2019-10-01",TRUE,0,0,0,8,23412.3243795291,48729.7453923942,"Colorado"
"198",8322232,"2019-11-01",TRUE,0,0,0,8,27364.1979938924,49672.183382757,"Colorado"
"199",8322232,"2019-12-01",TRUE,0,0,0,3,33592.0866270024,50388.1299405036,"Colorado"
"200",8322232,"2020-01-01",TRUE,0,0,0,11,3022.22846291426,15616.0691111437,"Colorado"
"201",8322232,"2020-02-01",TRUE,0,0,0,5,467831.292594066,1136078.67041399,"Colorado"
"202",8322232,"2020-03-01",TRUE,0,0,0,4,0,0,"Colorado"
"203",8322232,"2020-04-01",FALSE,0,0,0,6,0,0,"Colorado"
"204",8322232,"2020-04-01",TRUE,0,0,0,15,0,0,"Colorado"
"205",8504952,"2018-08-01",TRUE,0,0,0,2,11421076.587219,11421076.587219,"California"
"206",8518102,"2020-04-01",FALSE,0,0,0,3,1563894.16664414,3264519.24458106,"Texas"
"207",8518102,"2020-04-01",TRUE,0,0,0,2,1563894.16664414,3264519.24458106,"Texas"
"208",8518102,"2020-06-01",FALSE,0,0,0,6,0,0,"Texas"
"209",8518102,"2020-07-01",FALSE,0,0,0,5,0,0,"Texas"
"210",8638922,"2017-04-01",TRUE,0,0,0,2,18186562.7485114,18186562.7485114,NA
"211",8638922,"2017-05-01",TRUE,0,0,0,3,10.8720490007387,13.7838352918812,NA
"212",8715032,"2019-03-01",TRUE,0,0,0,3,31756.5613944108,47414.5620234721,NA
"213",8715032,"2019-10-01",TRUE,0,0,0,2,10435.5791622271,10435.5791622271,NA
"214",8715032,"2020-02-01",TRUE,0,0,0,7,345131.221319835,702648.243692497,NA
"215",8786002,"2018-09-01",TRUE,0,0,0,6,2503.3686515137,4638.21630646486,NA
"216",8786002,"2019-02-01",TRUE,0,0,0,3,26685.4068936283,36910.9993064723,NA
"217",8786002,"2019-04-01",TRUE,0,0,0,2,1358.15449260869,1358.15449260869,NA
"218",8837322,"2017-01-01",TRUE,0,0,0,3,65824.234956247,72757.1173202409,NA
"219",8837322,"2017-02-01",TRUE,0,0,0,4,6466.86659739505,11965.2190157186,NA
"220",9336402,"2020-04-01",FALSE,0,0,0,17,1720.6621776606,4806.51705037855,"New York"
"221",9336402,"2020-05-01",FALSE,0,0,0,71,6625.11339835351,23703.7204431139,"New York"
"222",9336402,"2020-06-01",FALSE,0,0,0,62,11401.5168819252,26097.332868639,"New York"
"223",9336402,"2020-07-01",FALSE,0,0,0,36,8833.88788992372,21718.794190784,"New York"
"224",9387332,"2020-03-01",TRUE,0,0,0,7,2172.70705495809,3828.11656392512,"North Carolina"
"225",9387332,"2020-04-01",FALSE,0,0,0,10,3338863.23890805,6790032.86391404,"North Carolina"
"226",9387332,"2020-04-01",TRUE,0,0,0,16,3338863.23890805,6790032.86391404,"North Carolina"
"227",9387332,"2020-05-01",FALSE,0,0,0,17,7145.38530174035,20282.2461699375,"North Carolina"
"228",9387332,"2020-06-01",FALSE,0,0,0,21,12666.9985553752,51008.9934424034,"North Carolina"
"229",9387332,"2020-07-01",FALSE,0,0,0,24,103955.022314721,216044.068856959,"North Carolina"
"230",9449182,"2018-05-01",TRUE,0,0,0,2,3849.51927955903,3849.51927955903,NA
"231",9449182,"2018-06-01",TRUE,0,0,0,2,9468722.60886548,9468722.60886548,NA
"232",9449182,"2018-12-01",TRUE,0,0,0,2,2841.10409512894,2841.10409512894,NA
"233",9449182,"2019-01-01",TRUE,0,0,0,2,1502140.13686021,1502140.13686021,NA
"234",9471412,"2017-03-01",TRUE,0,0,0,4,184058.734546482,357446.79948961,NA
"235",9471412,"2017-06-01",TRUE,0,0,0,4,131.206944086107,262.413888172213,NA
"236",9471412,"2017-07-01",TRUE,0,0,0,3,100953.910512008,134515.570028493,NA
"237",9471412,"2017-08-01",TRUE,0,0,0,2,0,0,NA
"238",9471412,"2017-09-01",TRUE,0,0,0,2,206949.777611203,206949.777611203,NA
"239",9471412,"2017-10-01",TRUE,0,0,0,6,26603.6452497625,78111.8614866936,NA
"240",9471412,"2018-03-01",TRUE,0,0,0,2,0,0,NA
"241",9471412,"2018-04-01",TRUE,0,0,0,2,0,0,NA
"242",9471412,"2018-05-01",TRUE,0,0,0,4,85219.3426010912,147451.788213592,NA
"243",9471412,"2018-09-01",TRUE,0,0,0,4,96208.0552029102,160986.386487836,NA
"244",9471412,"2019-04-01",TRUE,0,0,0,4,24794.1585149221,38001.00355283,NA
"245",9471412,"2019-08-01",TRUE,0,0,0,3,2751.17312749477,4126.75969124216,NA
"246",9660992,"2017-07-01",TRUE,0,0,0,2,7.68344813468091,7.68344813468091,NA
"247",10156952,"2020-06-01",FALSE,0,0,0,3,5221.88008169786,7748.57824972644,"Minnesota"
"248",10170612,"2020-06-01",FALSE,0,0,0,2,1689.21917600132,1689.21917600132,"Ohio"
"249",10213062,"2017-04-01",TRUE,0,0,0,2,0,0,"New York"
"250",10213062,"2017-06-01",TRUE,0,0,0,2,0,0,"New York"
"251",10580652,"2018-03-01",TRUE,0,0,0,2,12132470.1467847,12132470.1467847,"New Jersey"
"252",10580652,"2018-05-01",TRUE,0,0,0,2,48429.1219143012,48429.1219143012,"New Jersey"
"253",11120272,"2017-04-01",TRUE,0,0,0,2,101371.419098148,101371.419098148,NA
"254",11277752,"2017-01-01",TRUE,0,0,0,3,150267.910894417,201138.024811559,"Ohio"
"255",11277752,"2017-04-01",TRUE,0,0,0,2,0,0,"Ohio"
"256",11277752,"2017-07-01",TRUE,0,0,0,2,0,0,"Ohio"
"257",11277752,"2017-08-01",TRUE,0,0,0,4,825136.044352275,1237704.06652841,"Ohio"
"258",11277752,"2017-09-01",TRUE,0,0,0,3,0,0,"Ohio"
"259",11277752,"2017-10-01",TRUE,0,0,0,2,21648.1443966131,21648.1443966131,"Ohio"
"260",11277752,"2017-11-01",TRUE,0,0,0,3,0,0,"Ohio"
"261",11277752,"2018-01-01",TRUE,0,0,0,6,1998160.83030927,4486756.09796043,"Ohio"
"262",11277752,"2018-12-01",TRUE,0,0,0,2,6562.71207816073,6562.71207816073,"Ohio"
"263",11277752,"2019-04-01",TRUE,0,0,0,3,450394.077977794,675591.116966691,"Ohio"
"264",11277752,"2020-04-01",TRUE,0,0,0,4,0,0,"Ohio"
"265",11356312,"2018-04-01",TRUE,0,0,0,6,1535098.55014865,3522935.39537509,"Washington"
"266",11356312,"2018-05-01",TRUE,0,0,0,3,13215.6684052326,19822.5648371437,"Washington"
"267",11356312,"2018-06-01",TRUE,0,0,0,3,15025.7369324388,19819.8395329531,"Washington"
"268",11356312,"2018-07-01",TRUE,0,0,0,5,11970.8533945859,19819.8395329531,"Washington"
"269",11770332,"2020-03-01",TRUE,0,0,0,2,250378.215820565,250378.215820565,"California"
"270",11770332,"2020-04-01",FALSE,0,0,0,2,64157.1607819925,192471.482345978,"California"
