"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent","cs","L1vax","vax","lndeaths","deaths","lnvax","period"
"39","2021-11","BHR",2021-11-27,"Bahrain",277552,1394,158755.816,797.348,NA,NA,2899607,0,165.85,0,1748295,1935.907,"Asia",NA,158.52,165.85,6.68254459261567,797.348,5.11709520519738,1
"40","2021-02","BHS",2021-02-28,"Bahamas",8519,179,21463.088,450.979,0,0,0,0,0,0,396914,39.497,"North America",NA,0,0,6.11363571857593,450.979,0,1
"41","2021-07","BHS",2021-07-31,"Bahamas",14840,287,37388.452,723.079,0,0,106898,0,26.93,0,396914,39.497,"North America",NA,0,26.93,6.5849005024551,723.079,3.32970137995709,2
"42","2021-02","BIH",2021-02-28,"Bosnia and Herzegovina",130979,5071,40135.022,1553.873,NA,NA,0,0,0,0,3263459,68.496,"Europe",19940,0,0,7.34914914925227,1553.873,0,1
"43","2021-10","BIH",2021-10-31,"Bosnia and Herzegovina",252758,11495,77450.95,3522.336,NA,NA,1479596,0,45.34,0,3263459,68.496,"Europe",95599,0,45.34,8.16716354705492,3522.336,3.83600551900423,2
"44","2021-02","BLR",2021-02-28,"Belarus",287306,1976,30425.717,209.258,NA,NA,0,0,0,0,9442867,46.858,"Europe",NA,0,0,5.34833534806972,209.258,0,1
"45","2021-11","BLR",2021-11-27,"Belarus",650168,5041,68852.818,533.842,NA,NA,0,0,0,0,9442867,46.858,"Europe",NA,0,0,6.28197137617557,533.842,0,2
"46","2021-02","BLZ",2021-02-28,"Belize",12293,315,30359.458,777.941,0,0,0,0,0,0,404915,16.426,"North America",NA,0,0,6.65793530487667,777.941,0,1
"47","2021-03","BLZ",2021-03-31,"Belize",12456,317,30762.012,782.88,0,0,22067,0,5.45,0,404915,16.426,"North America",NA,0,5.45,6.66425594741085,782.88,1.86408013080768,2
"48","2021-02","BMU",2021-02-28,"Bermuda",0,0,0,0,0,0,0,0,0,0,62092,1308.82,"North America",NA,0,0,0,0,0,1
"49","2021-11","BMU",2021-11-05,"Bermuda",0,0,0,0,0,0,101341,5512,163.21,8.88,62092,1308.82,"North America",NA,NA,163.21,0,0,5.10114609650375,2
"50","2021-02","BOL",2021-02-28,"Bolivia",249010,11649,21043.805,984.456,718999,60.763,NA,0,0,0,11832936,10.202,"South America",66348,0,0,6.89310447820894,984.456,0,1
"51","2021-10","BOL",2021-10-31,"Bolivia",513584,18925,43402.922,1599.349,2611933,220.734,7818347,329432,66.07,2.78,11832936,10.202,"South America",196780,NA,66.07,7.37797700944207,1599.349,4.20573685011165,2
"52","2021-02","BRA",2021-02-28,"Brazil",10551259,254942,49306.46,1191.354,34725552,162.274,8433568,0,3.94,0,213993441,25.04,"South America",NA,0.97,3.94,7.08368478340128,1191.354,1.59736533119983,1
"53","2021-10","BRA",2021-10-31,"Brazil",21810855,607824,101923.007,2840.386,NA,NA,275907676,8140564,128.93,3.8,213993441,25.04,"South America",NA,110.95,128.93,7.95204724027725,2840.386,4.86699584389465,2
"54","2021-02","BRB",2021-02-28,"Barbados",3068,33,10663.589,114.7,0,0,38615,0,13.42,0,287708,664.463,"North America",NA,0,13.42,4.75100063419963,114.7,2.6686161318568,1
"55","2021-10","BRB",2021-10-31,"Barbados",17763,153,61739.681,531.789,0,0,275933,0,95.91,0,287708,664.463,"North America",NA,84.08,95.91,6.27812547336741,531.789,4.57378271274646,2
"56","2021-02","BRN",2021-02-28,"Brunei",186,3,421.261,6.795,0,0,0,0,0,0,441532,81.347,"Asia",31,0,0,2.05348250250974,6.795,0,1
"57","2021-09","BRN",2021-09-30,"Brunei",7116,42,16116.612,95.123,0,0,493587,0,111.79,0,441532,81.347,"Asia",97,74.25,111.79,4.56562862136748,95.123,4.72552768265183,2
"58","2021-02","BTN",2021-02-28,"Bhutan",867,1,1111.681,1.282,528646,677.838,0,0,0,0,779900,21.188,"Asia",NA,0,0,0.825052251439884,1.282,0,1
"59","2021-10","BTN",2021-10-31,"Bhutan",2621,3,3360.687,3.847,1200767,1539.642,1148146,0,147.22,0,779900,21.188,"Asia",NA,NA,147.22,1.57835995686324,3.847,4.99869765652321,2
"60","2021-02","BWA",2021-02-28,"Botswana",28371,310,11834.86,129.315,NA,NA,0,0,0,0,2397240,4.044,"Africa",572,0,0,4.86995459646138,129.315,0,1
"61","2021-09","BWA",2021-09-30,"Botswana",179220,2368,74760.975,987.803,NA,NA,629604,0,26.26,0,2397240,4.044,"Africa",10024,NA,26.26,6.89649512067941,987.803,3.30542042626839,2
"62","2021-02","CAF",2021-02-28,"Central African Republic",5004,63,1017.076,12.805,0,0,0,0,0,0,4919987,7.479,"Africa",NA,0,0,2.62503084538212,12.805,0,1
"63","2021-09","CAF",2021-09-30,"Central African Republic",11371,100,2311.185,20.325,0,0,207004,0,4.21,0,4919987,7.479,"Africa",NA,NA,4.21,3.05988009337774,20.325,1.65057985576528,2
"64","2021-02","CAN",2021-02-28,"Canada",871243,21995,22886.545,577.783,24444017,642.116,1914342,13,5.03,0,38067913,4.037,"North America",NA,2.55,5.03,6.36092762321334,577.783,1.79674701073909,1
