"","year","id","go","m","l","k","sic3dig","countyear","va"
"696",80,64728,4845.9677734375,3163,10,2165.72314453125,322,8,1682.9677734375
"697",84,65097,112400.6953125,75584.875,108,15015.837890625,321,8,36815.8203125
"698",83,65097,115480.7421875,62436.88671875,97,11005.017578125,321,8,53043.85546875
"699",86,65097,175726.5625,115061.828125,128,12137.3388671875,321,8,60664.734375
"700",81,65097,109685.609375,71549.2734375,87,6972.556640625,321,8,38136.3359375
"701",82,65097,102075.546875,51422.9921875,96,7349.85546875,321,8,50652.5546875
"702",79,65097,75088.578125,31307.080078125,62,7189.1806640625,321,8,43781.5
"703",80,65097,80034.6015625,23952,77,7157.31298828125,321,8,56082.6015625
"704",85,65097,144599.859375,80064.9140625,103,13498.546875,321,8,64534.9453125
"705",82,65151,10032.4609375,3214.80786132812,20,1355.65869140625,321,8,6817.6533203125
"706",80,65151,7442,5870,17,1457.21789550781,321,8,1572
"707",84,65151,14759.44140625,13509.38671875,21,1110.05297851562,321,8,1250.0546875
"708",79,65151,4797.125,3712.38720703125,12,1610.73046875,321,8,1084.73779296875
"709",86,65151,16417.03125,10482.529296875,21,1082.18994140625,321,8,5934.501953125
"710",83,65151,13844.86328125,9418.109375,22,1226.56469726562,321,8,4426.75390625
"711",81,65151,9426.6455078125,5816.9619140625,25,1498.71374511719,321,8,3609.68359375
"712",85,65151,13054.7744140625,11144.5478515625,21,1075.02111816406,321,8,1910.2265625
"713",83,65322,13121.53515625,10608.4501953125,22,2693.92553710938,321,8,2513.0849609375
"714",81,65322,9323.8759765625,7490.6884765625,22,2967.23559570312,321,8,1833.1875
"715",82,65322,10388.970703125,6469.88916015625,22,3042.3447265625,321,8,3919.08154296875
"716",86,65322,8518.71875,5634.572265625,5,2116.02026367188,321,8,2884.146484375
"717",79,65322,6512.0673828125,4810.45556640625,18,1501.73620605469,321,8,1701.61181640625
"718",85,65322,7155.822265625,3961.89233398438,20,2351.49462890625,321,8,3193.92993164062
"719",84,65322,10316.54296875,7492.73779296875,20,2406.36865234375,321,8,2823.80517578125
"720",80,65322,5884.16064453125,3116,17,2012.17822265625,321,8,2768.16064453125
"721",82,65565,14304.55859375,7993.23828125,22,2235.92211914062,322,8,6311.3203125
