"","year","sic4dig","id","go","m","l","k","sic3dig","sic2dig","minyear","maxyear","countyear","va","lnvaOl","lnk"
"1543",81,3117,11754,2940.28979492188,1666.62756347656,13,2967.62646484375,311,31,79,86,8,1273.66223144531,4.58470249176025,7.99551773071289
"1544",85,3117,11754,8320.177734375,4799.83056640625,11,1947.65307617188,311,31,79,86,8,3520.34716796875,5.76841974258423,7.57438039779663
"1545",80,3117,11781,13666.1533203125,7131,31,2026.29663085938,311,31,79,86,8,6535.1533203125,5.35096406936646,7.61396503448486
"1546",83,3117,11781,18224.7578125,10340.3330078125,26,1281.29614257812,311,31,79,86,8,7884.4248046875,5.71454811096191,7.15562725067139
"1547",84,3117,11781,20439.560546875,9109.8955078125,25,1182.34606933594,311,31,79,86,8,11329.6650390625,6.11630392074585,7.07525587081909
"1548",82,3117,11781,18200.03515625,8508.7958984375,29,1338.29956054688,311,31,79,86,8,9691.2392578125,5.81168174743652,7.19915533065796
"1549",81,3117,11781,16216.8486328125,8129.13916015625,27,1187.96459960938,311,31,79,86,8,8087.70947265625,5.70226383209229,7.07999658584595
"1550",85,3117,11781,12978.912109375,8487.427734375,18,1103.38647460938,311,31,79,86,8,4491.484375,5.51956653594971,7.00613927841187
"1551",79,3117,11781,14336.6103515625,8433.591796875,33,2116.75122070312,311,31,79,86,8,5903.0185546875,5.18671178817749,7.65763759613037
"1552",86,3117,11781,12985.8720703125,7674.99951171875,16,988.626953125,311,31,79,86,8,5310.87255859375,5.80492258071899,6.89631700515747
"1553",81,3117,11808,13102.3427734375,8348.5341796875,21,4125.8310546875,311,31,79,86,8,4753.80859375,5.42217874526978,8.32502269744873
"1554",83,3117,11808,13236.564453125,10830.08984375,19,3217.28955078125,311,31,79,86,8,2406.474609375,4.84147930145264,8.07629489898682
"1555",86,3117,11808,10135.5068359375,5293.30908203125,18,2221.6357421875,311,31,79,86,8,4842.19775390625,5.59475231170654,7.70599889755249
"1556",80,3117,11808,9295.9833984375,7368,17,3858.29174804688,311,31,79,86,8,1927.9833984375,4.73101663589478,8.25797939300537
"1557",79,3117,11808,7654.87646484375,6485.82763671875,16,1098.04138183594,311,31,79,86,8,1169.048828125,4.29135704040527,7.00128316879272
"1558",82,3117,11808,14513.8896484375,9353.3974609375,19,3649.09106445312,311,31,79,86,8,5160.4921875,5.60434818267822,8.20223331451416
"1559",84,3117,11808,10931.6884765625,9456.6318359375,21,2845.00561523438,311,31,79,86,8,1475.056640625,4.25192928314209,7.95332050323486
"1560",85,3117,11808,11377.693359375,8049.00830078125,20,2495.16577148438,311,31,79,86,8,3328.68505859375,5.11460018157959,7.82211065292358
"1561",84,3211,11862,961824.875,374376.09375,1069,796684.25,321,32,79,86,8,587448.75,6.30906534194946,13.5882139205933
"1562",82,3211,11862,386757.09375,150976.390625,825,936876.6875,321,32,79,86,8,235780.703125,5.65527391433716,13.7503070831299
"1563",80,3211,11862,830662.75,242003,1041,1097224.125,321,32,79,86,8,588659.75,6.33766651153564,13.9082937240601
"1564",83,3211,11862,653884.25,299020.28125,904,863757.375,321,32,79,86,8,354863.96875,5.97266054153442,13.6690473556519
"1565",85,3211,11862,689578.75,341518.71875,1008,735764.4375,321,32,79,86,8,348060.03125,5.84440660476685,13.5086650848389
"1566",86,3211,11862,1038435.5625,403990.5,994,685027.3125,321,32,79,86,8,634445.0625,6.45876884460449,13.4372138977051
"1567",81,3211,11862,1017714.5,191623.703125,694,1010090.1875,321,32,79,86,8,826090.8125,7.0819878578186,13.8255500793457
"1568",79,3211,11862,891412.75,310979.875,1066,1100413.125,321,32,79,86,8,580432.875,6.29986095428467,13.9111967086792
"1569",80,3117,11889,10958,7733,21,2022.30883789062,311,31,79,86,8,3225,5.03416585922241,7.61199522018433
"1570",86,3117,11889,10696.10546875,7205.14013671875,20,1479.03112792969,311,31,79,86,8,3490.96533203125,5.16220140457153,7.29914236068726
"1571",81,3117,11889,7184.10498046875,4184.8515625,21,1831.38830566406,311,31,79,86,8,2999.25341796875,4.96159601211548,7.51282978057861
