"","crimes11","b_migr11","pop11","area"
"87",112348.966866174,5.74622051790357,47751.9916211406,"Christchurch"
"88",112348.966866174,4.91820860479493,87165.9754157653,"East Dorset"
"89",112348.966866174,6.75758079160005,68583.0268873683,"North Dorset"
"90",112348.966866174,5.51603400381282,44973.0003487711,"Purbeck"
"91",112348.966866174,5.70379346027039,99263.9742131181,"West Dorset"
"92",112348.966866174,5.53209336940199,65166.9823391115,"Weymouth and Portland"
"93",147763.00798303,12.3948207590729,99412.0467244234,"Eastbourne"
"94",161585.950862705,8.69016777141951,90254.0025221209,"Hastings"
"95",92677.0096456183,7.62700958875939,97501.9818156052,"Lewes"
"96",84341.9775212989,6.45166749600321,90587.9793628893,"Rother"
"97",99116.9985924402,6.70037393429084,148914.992971545,"Wealden"
"98",239356.067267236,7.27139047457968,174542.142109921,"Basildon"
"99",122665.009354219,6.11589592590462,147083.964275575,"Braintree"
"100",75870.9892291044,8.69765289244242,73601.024371952,"Brentwood"
"101",80058.9830977168,3.56667764717713,87567.9920102834,"Castle Point"
"102",165282.057138064,7.9902766039595,168309.97712618,"Chelmsford"
"103",199841.975068958,11.1229762958828,173074.047149224,"Colchester"
"104",144398.959530898,9.01101940253284,124659.014190238,"Epping Forest"
"105",142071.026894326,11.9864528882317,81943.9925355611,"Harlow"
"106",43049.983411619,4.01913338282611,61628.9957326628,"Maldon"
"107",49535.9834753468,3.62849492521491,83241.8051812148,"Rochford"
"108",152180.060965457,4.39783905894728,138047.997596927,"Tendring"
"109",69045.984924598,7.45212588226423,79442.9912641404,"Uttlesford"
"110",201820.968337572,11.6229187056888,115732.042746634,"Cheltenham"
"111",71984.0071916723,7.18979871599004,82880.9881618609,"Cotswold"
"112",64908.9882546557,3.82996810949408,81949.7756828213,"Forest of Dean"
"113",221934.96852799,10.8980453311233,121688.054378401,"Gloucester"
"114",113956.992460143,5.52291644271463,112778.995055341,"Stroud"
"115",74120.9734758734,6.37635931880141,81954.152389884,"Tewkesbury"
"116",112926.94984764,8.42547453357838,115608.052572226,"East Hampshire"
"117",154710.053676159,7.48250996111892,125198.962934831,"Eastleigh"
"118",108741.014760802,5.65592106140684,111581.008717114,"Fareham"
"119",124396.038395176,6.15571331582032,82621.9796127471,"Gosport"
"120",181035.964175063,5.27399238781072,120683.970693761,"Havant"
"121",184927.039264588,6.26296162517974,176462.045331069,"New Forest"
